3298,1088,2073,1909,2158,2984,880,1570,2630,1403,1799,2424,3259,2914,3579,1875,2294,2722,1795,3029,1272,2939,2968,2360,1651,1108,1223,
2755,2521,1488,1060,3655,1172,3211,1749,2876,2314,3417,3893,3420,2551,1783,1512,1885,1322,1003,1355,2424,1739,1143,1523,2306,2182,1583,
2627,1181,2809,1984,600,2274,1929,3237,2927,2543,1241,3023,3158,1889,1924,626,3316,1792,3899,623,1371,4020,2240,3271,1053,912,2522,
2877,2996,2152,1909,3119,1504,1968,1182,1726,2798,2765,3220,2738,1383,1132,2421,1608,2035,2009,1404,924,1099,1839,3129,3613,2368,2631,
3270,1551,1044,3168,2881,1706,1947,2502,2383,2973,3447,2167,1805,942,2916,2361,824,3063,969,1361,2574,670,1594,2281,3496,2172,2505,
2189,1379,2789,3198,845,0,1892,2220,624,2953,2595,2026,2357,879,984,1447,1834,1376,1518,2674,2077,860,537,1132,3330,3339,2366,
3170,1341,1771,783,3499,3669,2653,2148,2068,2939,551,906,1278,1513,3247,2279,2249,3010,3727,1159,2555,1272,3041,1950,972,2667,2554,
1602,1800,819,2139,2366,3068,2209,2595,3289,2279,3101,2246,3514,2256,2382,2678,2742,2385,2046,3420,2317,1288,1566,1177,1519,1055,1215,
2957,1547,2669,2814,1240,1154,2880,1310,3464,1089,1823,1965,3691,1685,3119,1841,1577,2263,2703,3030,1382,3802,1814,1031,2601,1450,2035,
1067,2751,2708,1875,3190,3246,997,2352,3027,2881,1586,1549,1966,659,2313,1223,898,2739,2533,2453,1638,3467,1572,1135,3412,2537,1934,
1443,3085,1047,1015,1439,1734,3050,1681,1716,2853,3790,2869,2604,1556,2561,1960,3388,3071,2244,3037,435,1296,2277,2724,2726,1488,1548,
3251,3841,2390,1684,1703,1163,1958,1037,2435,2486,2347,3376,2429,1455,1289,3053,2429,821,3172,3566,1295,2348,1570,2119,2415,1734,1353,
1891,2632,1498,1013,1226,3129,2861,1280,2666,3033,1557,1532,3069,3330,3567,842,768,2379,3222,2853,1298,1526,2867,2500,1737,2537,1745,
3184,1991,2642,1940,2851,2466,1725,775,2240,1153,3428,3712,1463,2525,1500,2929,1150,3115,2217,3195,3351,1797,663,2066,2391,1172,1238,
2129,2944,2137,916,3413,2735,1846,2338,588,1251,3403,1180,1834,3217,2689,753,2916,3163,1897,3320,1038,498,1828,2664,2747,3689,1643,
1920,1077,2157,2053,1219,1259,1015,1661,1649,2566,3605,2997,1772,3617,2512,2172,2371,2132,1140,1935,2595,2191,1696,3088,2796,3107,2884,
1429,2114,1418,1001,2540,3373,2009,3214,3010,3234,1481,1549,2015,2087,3176,779,1978,3464,1489,2219,1470,2729,1671,1416,1970,1582,1391,
2184,1998,2747,2828,2578,1146,2621,3497,1944,1535,1939,3192,2431,860,1133,1188,2628,1315,3046,1990,2869,3150,1193,1737,1063,2429,3483,
1734,947,2181,2525,2526,3551,2489,3791,1457,2342,2618,1345,992,1767,1563,860,900,3159,3139,3364,1178,1327,3097,1027,3037,3312,2682,
3418,1564,1567,2554,1968,1189,3115,2526,1488,1014,962,3423,797,2202,3098,2429,2908,2289,2660,915,3038,1915,2381,2215,2450,2806,2022,
2771,2934,1943,2574,2169,1322,2392,2073,2257,2747,2103,3375,3399,966,1985,1431,1191,1130,2923,2787,1515,1175,1735,3434,2587,316,3464,
3360,1313,2942,2169,3241,2907,1647,1808,1705,973,736,1136,845,1814,2201,1777,2171,2977,2573,2927,3515,2588,1666,3469,823,3919,2361,
1616,1406,2330,1198,2750,2857,2184,2466,3008,2193,1549,3581,2098,1226,2719,3475,1320,3261,1285,2657,1244,1041,802,2594,1634,3484,2456,
2506,1808,1743,2707,1457,3522,2013,2503,899,2004,2111,2945,625,2573,898,2460,3040,3209,2998,2493,2351,780,854,2992,1189,3182,2853,
1869,2552,2222,3134,1850,3092,3096,570,575,3118,790,2341,2286,3389,2428,1071,2366,2432,1873,1935,3044,2650,2563,993,1239,2794,3475,
2617,3352,1543,1935,2842,2880,1544,2946,2738,3118,2406,1960,1162,2428,1296,1997,1145,1563,1857,1608,854,1306,2913,2826,2857,2433,2988,
3828,1675,616,3879,1568,1715,1879,1738,1909,2463,3414,2025,1349,1168,1699,4095,2890,1016,2110,2571,644,2243,3397,1582,3332,2015,1863,
630,3688,2620,1829,3586,1615,2808,611,1851,2667,1542,3236,2460,1377,3219,3220,1522,723,304,3233,1027,2287,3077,1948,1750,2264,3570,
2245,3392,2246,3561,1686,2155,1031,1787,1430,2338,1382,2832,995,3202,1993,2218,2569,1911,1106,1063,1305,2386,1715,1974,3510,2792,3556,
2656,2296,1782,2406,3734,2219,1686,1056,1428,1954,1957,1023,2419,2826,2471,2199,3210,1904,1852,2572,1574,3184,1342,3320,931,3583,1001,
2946,2280,1863,1713,1747,1646,1102,1273,2674,2543,1993,1024,2485,3244,1774,2812,3280,3177,2355,2484,2382,2405,909,1912,1018,3289,2139,
1562,2622,1663,1401,1944,1188,3354,1918,3196,2242,1351,1993,1779,1224,3462,3014,4012,2642,654,1818,3179,2248,2904,695,2812,2379,2011,
